City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,46.0,88,4,5.01,NZ,1604162071
Devils Lake,48.11,-98.87,39.2,55,75,36.91,US,1604162071
Punta Arenas,-53.15,-70.92,53.6,66,0,3.36,CL,1604162071
Bethel,41.37,-73.41,42.01,55,1,6.93,US,1604162071
Borovsk,55.21,36.49,46.0,71,5,11.01,RU,1604162071
Itupiranga,-5.13,-49.33,87.8,62,40,5.82,BR,1604161966
Tiksi,71.69,128.87,0.91,93,65,3.67,RU,1604162072
Busselton,-33.65,115.33,63.0,67,100,11.92,AU,1604162072
Bredasdorp,-34.53,20.04,64.4,55,0,12.75,ZA,1604162072
Abonnema,4.71,6.79,78.8,83,40,6.93,NG,1604162072
Qaanaaq,77.48,-69.36,10.83,86,95,7.18,GL,1604162072
Saskylakh,71.92,114.08,-4.52,83,1,6.06,RU,1604162072
Khatanga,71.97,102.5,-6.56,87,96,7.61,RU,1604162072
Jamestown,42.1,-79.24,39.0,69,90,10.29,US,1604161846
Hobart,-42.88,147.33,55.4,58,90,8.05,AU,1604162023
Kathu,7.92,98.33,86.0,94,40,3.36,TH,1604162073
Jacareacanga,-6.22,-57.75,97.63,37,75,3.78,BR,1604161797
Rikitea,-23.12,-134.97,74.95,71,7,7.65,PF,1604162073
Uyemskiy,64.47,40.85,28.4,92,20,2.24,RU,1604162073
Newry,54.18,-6.34,51.01,70,62,11.99,GB,1604161963
Lázaro Cárdenas,17.96,-102.2,82.06,68,95,2.64,MX,1604162073
Calvillo,21.85,-102.72,64.4,27,5,4.7,MX,1604162073
Atuona,-9.8,-139.03,78.17,76,17,17.83,PF,1604162074
Iqaluit,63.75,-68.51,21.2,73,90,6.93,CA,1604162074
Ushuaia,-54.8,-68.3,55.4,54,40,3.36,AR,1604161882
Geraldton,-28.77,114.6,68.0,77,75,12.75,AU,1604161842
Hermanus,-34.42,19.23,64.99,62,0,4.0,ZA,1604162074
Saint-Augustin,51.23,-58.65,33.12,75,1,13.09,CA,1604162074
Hasaki,35.73,140.83,46.4,87,20,5.82,JP,1604162074
São Filipe,14.9,-24.5,82.08,61,57,15.93,CV,1604162075
Tadine,-21.55,167.88,73.54,81,37,14.32,NC,1604162075
Khingansk,49.12,131.18,34.39,97,100,9.33,RU,1604162075
Puerto Ayora,-0.74,-90.35,75.2,73,75,17.22,EC,1604161867
Hong Kong,22.29,114.16,73.99,76,9,14.27,HK,1604161805
Riyadh,24.69,46.72,77.0,31,0,3.36,SA,1604162075
Yellowknife,62.46,-114.35,19.4,85,90,17.22,CA,1604162075
Sompeta,18.93,84.6,78.94,65,77,4.83,IN,1604162075
